river,river_id,mean,sd,2.5%,50%,97.5%,Rhat,n.eff,mcmc_iter,n_thin,n_burn,species,param,param_id,year_id
atsuta,1,-0.05127077153596277,0.04487864515586337,-0.137085475,-0.0532712,0.04547696000000002,1,31031,877000,50,1000,Oncorhynchus_masou_masou,log_r_mean[1],log_r_mean,NA
atsuta,1,0.9834782432077626,0.19707312314917075,0.6800436750000001,0.9558785000000001,1.4499440000000001,1,51701,877000,50,1000,Oncorhynchus_masou_masou,sigma_eps_r[1],sigma_eps_r,NA
atsuta,1,-2.1142042713850837,0.3880208111708897,-2.8786605,-2.1165149999999997,-1.3458114999999995,1.01,1859,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[1,1]",log_d_mean,1
atsuta,1,-1.9642182112252664,0.3841486329766152,-2.71643775,-1.9675,-1.2053169999999997,1.01,2074,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[2,1]",log_d_mean,2
atsuta,1,-1.0685818269619483,0.3741830508231059,-1.8039407500000002,-1.0707300000000002,-0.33179947499999957,1.01,1889,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[3,1]",log_d_mean,3
atsuta,1,-1.466903801513128,0.3771230616682031,-2.20619175,-1.47052,-0.7200722749999997,1.01,1941,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[4,1]",log_d_mean,4
atsuta,1,-1.4209290772945204,0.37842890247702016,-2.1611815,-1.42323,-0.67750475,1.01,1934,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[5,1]",log_d_mean,5
atsuta,1,-1.41644858908086,0.38383232181945365,-2.1748925,-1.41825,-0.6578767249999995,1.01,2047,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[6,1]",log_d_mean,6
atsuta,1,-1.0805572709774391,0.38003417300081854,-1.82574025,-1.084455,-0.33587954999999986,1.01,1955,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[7,1]",log_d_mean,7
atsuta,1,-1.8224314866628615,0.3844999704505192,-2.5801335,-1.824535,-1.0610234999999997,1.01,2004,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[8,1]",log_d_mean,8
atsuta,1,-1.1764149603744292,0.3789427722850745,-1.9207345,-1.178255,-0.4300168999999998,1.01,1969,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[9,1]",log_d_mean,9
atsuta,1,-0.760447888424161,0.37544453699255553,-1.49887375,-0.763766,-0.022358799999999613,1.01,1920,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[10,1]",log_d_mean,10
atsuta,1,-2.311563726959665,0.38457176809118054,-3.066024,-2.31509,-1.5529717499999995,1.01,2010,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[11,1]",log_d_mean,11
atsuta,1,-1.9448272832382039,0.38812953587966004,-2.70789125,-1.947425,-1.1796297499999995,1.01,2077,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[12,1]",log_d_mean,12
atsuta,1,-1.3901438441650114,0.3836137342920683,-2.1431820000000004,-1.39257,-0.6356166,1.01,2006,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[13,1]",log_d_mean,13
atsuta,1,-0.9549681626393646,0.3776915324667537,-1.6925044999999999,-0.9582955,-0.20849627499999956,1.01,1951,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[14,1]",log_d_mean,14
atsuta,1,-3.165766603500761,0.4210921560204087,-3.996351,-3.1650650000000002,-2.33865725,1,2509,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[15,1]",log_d_mean,15
atsuta,1,-1.4164045151636224,0.3794433746600014,-2.160855,-1.41925,-0.669835325,1.01,1955,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[16,1]",log_d_mean,16
atsuta,1,-1.9775042724695586,0.38640410904906863,-2.73308125,-1.9801799999999998,-1.2083067499999998,1.01,2021,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[17,1]",log_d_mean,17
atsuta,1,-1.6502014498097413,0.3830011293792871,-2.400152,-1.652925,-0.8953524249999999,1.01,2004,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[18,1]",log_d_mean,18
chihase,2,-0.05246228201744159,0.043965773107113144,-0.137734325,-0.05399165,0.04127485750000002,1,29201,877000,50,1000,Oncorhynchus_masou_masou,log_r_mean[2],log_r_mean,NA
chihase,2,0.8506479132229833,0.42252952770127705,0.366464825,0.743709,1.97814125,1.03,1700,877000,50,1000,Oncorhynchus_masou_masou,sigma_eps_r[2],sigma_eps_r,NA
chihase,2,-1.3194501436682344,1.424026767250649,-4.048896,-1.3703500000000002,1.6992072500000008,1.01,1249,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[1,2]",log_d_mean,1
chihase,2,-1.4772792902526466,1.2581048116066773,-3.8844914999999998,-1.517105,1.1989690000000004,1.01,1839,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[2,2]",log_d_mean,2
chihase,2,-1.6198069961717256,1.0314974489419932,-3.6057315,-1.65331,0.5390313250000001,1.01,2613,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[3,2]",log_d_mean,3
chihase,2,-1.7815457370093226,0.5935117040288161,-2.943057,-1.7821349999999998,-0.618231275,1,6787,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[4,2]",log_d_mean,4
chihase,2,-1.8989114033704853,1.0252783586832481,-3.9126057499999995,-1.9028550000000002,0.13575642500000037,1.01,3904,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[5,2]",log_d_mean,5
chihase,2,-2.041996096439631,1.130992106942351,-4.334308,-2.03069,0.1779235750000002,1.01,3622,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[6,2]",log_d_mean,6
chihase,2,-2.1241609708529583,1.0007658266533814,-4.13172525,-2.12387,-0.12828474999999875,1,4155,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[7,2]",log_d_mean,7
chihase,2,-2.255812605636796,0.600943884632129,-3.4353515000000003,-2.25712,-1.07330775,1,7186,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[8,2]",log_d_mean,8
chihase,2,-1.5318971027839803,0.8843946236440547,-3.295836,-1.5260850000000001,0.19017892500000053,1,4534,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[9,2]",log_d_mean,9
chihase,2,-0.7928533203640677,0.5861794337565837,-1.94100375,-0.796197,0.35908492500000055,1,6769,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[10,2]",log_d_mean,10
chihase,2,-0.8640275780130442,0.8796429292922746,-2.593379,-0.8726054999999999,0.8850262500000003,1,6797,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[11,2]",log_d_mean,11
chihase,2,-0.9566111821924848,0.5875571495525632,-2.1098102499999998,-0.95909,0.20116357500000034,1,6867,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[12,2]",log_d_mean,12
chihase,2,-1.1517039676933023,1.0376821897207065,-3.232714,-1.149505,0.8846617250000007,1,10076,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[13,2]",log_d_mean,13
chihase,2,-1.3434184379544978,1.187181819627652,-3.75737375,-1.33743,1.0283097500000007,1,11189,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[14,2]",log_d_mean,14
chihase,2,-1.5230962422011076,1.2060176076219291,-3.9180945,-1.52655,0.8646119250000001,1,9575,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[15,2]",log_d_mean,15
chihase,2,-1.718882844648573,1.0341902967192644,-3.7614595,-1.7239200000000001,0.34066410000000014,1,10783,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[16,2]",log_d_mean,16
chihase,2,-1.904710065212462,0.5939009774310942,-3.0701925,-1.90689,-0.735633125,1,6993,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[17,2]",log_d_mean,17
chihase,2,-1.9554329479022108,1.1167404104127618,-4.1959295,-1.955455,0.2733866000000007,1,17956,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[18,2]",log_d_mean,18
furuu,3,-0.05504251515196537,0.040480821740173874,-0.134873025,-0.0555876,0.02769741750000002,1,32192,877000,50,1000,Oncorhynchus_masou_masou,log_r_mean[3],log_r_mean,NA
furuu,3,0.4750134476217656,0.17507930624788026,0.256734675,0.43695300000000004,0.9186718250000001,1,3993,877000,50,1000,Oncorhynchus_masou_masou,sigma_eps_r[3],sigma_eps_r,NA
furuu,3,-1.3640457692597032,0.3725870352680198,-2.10469075,-1.361035,-0.6377205499999994,1,4706,877000,50,1000,Oncorhynchus_masou_masou,"log_d_mean[1,3]",log_d_mean,1
