river,id,area,frac_forest,frac_urban,frac_agri,mean_temp,mean_ppt
masuhoro,1,117.9198,0.9082609163020582,0,0,5.760614738818453,1143.2331920191175
mogusa,2,28.998,0.9221231418665244,0,0,7.903921134536674,1369.5787435713596
horonai,3,7.1118,0.9479561453766417,0,0,4.966980592538681,1054.824300800106
oyobe,4,39.9816,0.9919014677107775,0,0,8.636546444446024,1329.545448636569
utabetsu,5,30.4641,0.8920315528133935,0.008842872973250567,0,5.573275567009485,1284.7934296557198
shimonaefutoro,6,55.9143,0.8724226417816597,0,0,5.561635736635909,1138.9189920148078
shokanbetsu,7,99.4923,0.8667389512734048,0,0,4.350974045353555,1427.7363803937008
sukki,8,34.4088,0.8325933448662974,0,0,5.322962235767019,1349.2382325959518
furuu,9,77.8005,0.9041179425770822,0,0,6.155954937972324,1376.06572776649
ookamotsu,10,44.7363,0.9258720964697326,1.5070854351142225e-4,0,7.488794950596666,1384.5417934855261
nishibetsu,11,445.97790000002,0.3337855406318839,0.005576744637309574,0.2633686529995733,5.255237732304271,1087.7585064850668
kokamotsu,12,30.699,0.9689976038519335,0,0,7.8084222069125255,1371.9678062204844
yamubetsu,13,186.0165,0.6056120995970184,0.0025402189914468473,0.10950181207459257,5.39643785125448,973.0012002224953
ishizaki,14,178.3053,0.9728134899618766,0,0,7.475182151367653,1368.2615671280446
atsuta,15,137.1654,0.9576041871887465,0.003558421243888979,0,6.3885345917772955,1309.0333271893298
toppu,16,59.8185,0.9302062332875352,0,0,7.287777770911386,1296.2917556047805
nobusha,17,124.9749,0.9270727707577795,0,0.007868686944302872,5.44424624425445,1375.1250174142833
shakotan,18,75.0627,0.9345951028299859,0,0,6.444707506463673,1354.6959816281167
tomari,19,102.2463,0.9467893700425768,0,0,5.896212925709404,1325.6403494234562
onennbetsu,20,35.2836,0.948226009521391,0,0,3.4378918052910032,1141.446597897249
nikanbetsu,21,54.2781,0.9759479735233225,0,0,5.315208901961349,1326.2512489891897
toshibetsu,22,66.906,0.956241034402757,0,0,6.063066257846998,1316.2141453183765
shiotomari,23,34.2549,0.941614192454077,0,0,7.71603102190362,1243.5467671956737
futoro,24,199.8594,0.9535620697374761,0,0,7.630977258248735,1243.1810880660485
chihase,25,76.7718,0.8655763187903226,0,0,5.783236938227564,1326.8509551620596
usubetsu,26,48.7134,0.9971698958864208,0,0,6.740289108650001,1308.2280111039586
haraki,27,13.7457,0.9545830705708024,0,0,8.184418672060435,1225.1400751998233
hidakahorobetsu,28,137.4327,0.9538925461062818,0,0,4.814292952405356,1421.0542446991424
okushibetsu,29,77.8896,0.8402819075668901,0,0.05135473799526839,3.5447819893688544,1137.5592239924947
kenichi,30,69.3765,0.9514155051705913,0,0,6.419945615169128,1329.7620630358654
yobetsu,31,43.9263,0.8595970487193059,0,0,5.659061979967955,1376.4754043740602
hime,32,54.1404,0.8179868430565704,0,0,7.7866659890356695,1276.7415558963944
