river,n_cell,value,sd,measure,buffer,year,source
Nishibetsu,96,14.079688,3.916858,sst,30km,1999,avhrr
Onnebetsu,103,12.691748,4.054824,sst,30km,1999,avhrr
Okushibetsu,19,9.935527,1.404675,sst,30km,1999,avhrr
Yamubetsu,35,11.464286,2.633414,sst,30km,1999,avhrr
Horonai,87,16.158621,6.570642,sst,30km,1999,avhrr
Shimonaefutoro,103,14.709466,6.672105,sst,30km,1999,avhrr
Masuhoro,40,15.990001,3.757912,sst,30km,1999,avhrr
Nobusha,68,20.706618,2.410618,sst,30km,1999,avhrr
Shokanbetsu,15,20.380001,1.974931,sst,30km,1999,avhrr
Atsuta,70,21.757501,2.511713,sst,30km,1999,avhrr
Shakotan,133,21.151692,2.231834,sst,30km,1999,avhrr
Yobetsu,22,19.605683,1.268699,sst,30km,1999,avhrr
Furuu,35,20.260715,3.042246,sst,30km,1999,avhrr
Tomari,76,21.158882,2.497741,sst,30km,1999,avhrr
Chihase,12,19.381251,2.441143,sst,30km,1999,avhrr
Sukki,49,18.959695,1.359489,sst,30km,1999,avhrr
Toshibetsu,24,19.978126,3.087688,sst,30km,1999,avhrr
Futoro,12,18.956251,1.71659,sst,30km,1999,avhrr
Usubetsu,47,19.798405,2.309764,sst,30km,1999,avhrr
Kenichi,21,23.210715,2.039252,sst,30km,1999,avhrr
Toppu,17,23.810295,2.178742,sst,30km,1999,avhrr
Hime,1,22.575001,0,sst,30km,1999,avhrr
Ishizaki,53,22.661322,1.918803,sst,30km,1999,avhrr
Ookamotsu,55,21.230455,1.734481,sst,30km,1999,avhrr
Kokamotsu,7,21.139287,2.022192,sst,30km,1999,avhrr
Mogusa,8,18.646876,4.032416,sst,30km,1999,avhrr
Oyobe,39,21.053847,3.232391,sst,30km,1999,avhrr
Shiotomari,109,21.141056,2.977376,sst,30km,1999,avhrr
Haraki,51,21.204412,1.927362,sst,30km,1999,avhrr
Hidakahorobetsu,74,21.33142,3.047862,sst,30km,1999,avhrr
Nikanbetsu,54,21.82639,2.204139,sst,30km,1999,avhrr
Utabetsu,37,20.947298,1.563021,sst,30km,1999,avhrr
Nishibetsu,96,17.141407,2.687839,sst,30km,2000,avhrr
Onnebetsu,103,12.05534,4.988826,sst,30km,2000,avhrr
Okushibetsu,19,11.478948,4.494633,sst,30km,2000,avhrr
Yamubetsu,35,11.147143,4.471053,sst,30km,2000,avhrr
Horonai,87,16.202587,2.89116,sst,30km,2000,avhrr
Shimonaefutoro,103,14.283496,3.371134,sst,30km,2000,avhrr
Masuhoro,40,16.308751,1.951799,sst,30km,2000,avhrr
Nobusha,68,13.825368,2.62927,sst,30km,2000,avhrr
Shokanbetsu,15,17.380001,3.621133,sst,30km,2000,avhrr
Atsuta,70,19.547144,2.588289,sst,30km,2000,avhrr
Shakotan,133,17.668986,2.47484,sst,30km,2000,avhrr
Yobetsu,22,17.713637,1.558458,sst,30km,2000,avhrr
Furuu,35,18.426429,1.607549,sst,30km,2000,avhrr
Tomari,76,18.671053,3.035925,sst,30km,2000,avhrr
Chihase,12,18.362501,1.517348,sst,30km,2000,avhrr
Sukki,49,17.729082,1.032005,sst,30km,2000,avhrr
Toshibetsu,24,18.581251,1.270996,sst,30km,2000,avhrr
Futoro,12,19.487501,0.812307,sst,30km,2000,avhrr
Usubetsu,47,20.128724,1.504903,sst,30km,2000,avhrr
Kenichi,21,20.735715,1.753968,sst,30km,2000,avhrr
Toppu,17,19.288236,4.384793,sst,30km,2000,avhrr
Hime,1,12.750001,0,sst,30km,2000,avhrr
Ishizaki,53,19.085378,2.285457,sst,30km,2000,avhrr
Ookamotsu,55,18.180001,2.783504,sst,30km,2000,avhrr
Kokamotsu,7,17.914286,2.808369,sst,30km,2000,avhrr
Mogusa,8,19.059376,1.80641,sst,30km,2000,avhrr
Oyobe,39,19.223078,2.34573,sst,30km,2000,avhrr
Shiotomari,109,18.635092,4.22788,sst,30km,2000,avhrr
Haraki,51,20.379412,1.390811,sst,30km,2000,avhrr
Hidakahorobetsu,74,21.687163,0.979203,sst,30km,2000,avhrr
Nikanbetsu,54,22.26389,1.73502,sst,30km,2000,avhrr
Utabetsu,37,22.230406,1.361601,sst,30km,2000,avhrr
Nishibetsu,96,12.619532,2.808523,sst,30km,2001,avhrr
Onnebetsu,103,12.775486,3.643811,sst,30km,2001,avhrr
Okushibetsu,19,13.598685,2.484498,sst,30km,2001,avhrr
Yamubetsu,35,14.751429,2.618764,sst,30km,2001,avhrr
Horonai,87,16.332759,4.742799,sst,30km,2001,avhrr
Shimonaefutoro,103,18.132525,4.407932,sst,30km,2001,avhrr
Masuhoro,40,18.491251,3.457368,sst,30km,2001,avhrr
Nobusha,68,19.97978,3.308315,sst,30km,2001,avhrr
Shokanbetsu,15,20.370001,1.137035,sst,30km,2001,avhrr
Atsuta,70,20.363572,3.309016,sst,30km,2001,avhrr
Shakotan,133,20.919926,1.97958,sst,30km,2001,avhrr
Yobetsu,22,20.764774,0.526602,sst,30km,2001,avhrr
Furuu,35,20.832858,1.960446,sst,30km,2001,avhrr
Tomari,76,20.518422,2.093939,sst,30km,2001,avhrr
Chihase,12,20.650001,1.754459,sst,30km,2001,avhrr
Sukki,49,21.160715,1.191841,sst,30km,2001,avhrr
Toshibetsu,24,21.196876,0.93495,sst,30km,2001,avhrr
Futoro,12,20.881251,1.678855,sst,30km,2001,avhrr
Usubetsu,47,20.854788,1.239484,sst,30km,2001,avhrr
Kenichi,21,20.707143,1.369875,sst,30km,2001,avhrr
Toppu,17,17.810295,4.823869,sst,30km,2001,avhrr
Hime,1,7.8,0,sst,30km,2001,avhrr
Ishizaki,53,20.600944,3.026163,sst,30km,2001,avhrr
Ookamotsu,55,21.023183,2.097509,sst,30km,2001,avhrr
Kokamotsu,7,22.092858,1.228364,sst,30km,2001,avhrr
Mogusa,8,20.006251,2.20063,sst,30km,2001,avhrr
Oyobe,39,20.173078,3.994798,sst,30km,2001,avhrr
Shiotomari,109,19.327294,3.53129,sst,30km,2001,avhrr
Haraki,51,19.557354,2.559222,sst,30km,2001,avhrr
Hidakahorobetsu,74,19.304393,2.099161,sst,30km,2001,avhrr
Nikanbetsu,54,14.673612,4.120684,sst,30km,2001,avhrr
Utabetsu,37,13.956082,4.963323,sst,30km,2001,avhrr
Nishibetsu,96,7.596094,3.528135,sst,30km,2002,avhrr
Onnebetsu,103,7.491262,2.465157,sst,30km,2002,avhrr
Okushibetsu,19,5.482895,1.03406,sst,30km,2002,avhrr
Yamubetsu,35,7.542857,3.911246,sst,30km,2002,avhrr
Horonai,87,12.257759,3.550863,sst,30km,2002,avhrr
Shimonaefutoro,103,9.200243,2.982187,sst,30km,2002,avhrr
Masuhoro,40,12.594376,1.540459,sst,30km,2002,avhrr
Nobusha,68,16.683089,1.580421,sst,30km,2002,avhrr
Shokanbetsu,15,17.650001,2.065732,sst,30km,2002,avhrr
Atsuta,70,17.007858,2.93107,sst,30km,2002,avhrr
Shakotan,133,16.960151,1.697923,sst,30km,2002,avhrr
Yobetsu,22,16.650001,1.560157,sst,30km,2002,avhrr
Furuu,35,17.665715,2.383223,sst,30km,2002,avhrr
Tomari,76,16.932238,1.370506,sst,30km,2002,avhrr
Chihase,12,15.800001,1.502914,sst,30km,2002,avhrr
Sukki,49,15.514286,1.21152,sst,30km,2002,avhrr
Toshibetsu,24,16.890626,1.620905,sst,30km,2002,avhrr
Futoro,12,15.800001,2.764225,sst,30km,2002,avhrr
Usubetsu,47,16.217554,2.629952,sst,30km,2002,avhrr
Kenichi,21,17.425001,3.166736,sst,30km,2002,avhrr
Toppu,17,17.836766,1.870182,sst,30km,2002,avhrr
Hime,1,17.550001,0,sst,30km,2002,avhrr
Ishizaki,53,16.829718,1.38196,sst,30km,2002,avhrr
Ookamotsu,55,18.226364,2.817064,sst,30km,2002,avhrr
Kokamotsu,7,16.392858,3.282141,sst,30km,2002,avhrr
Mogusa,8,16.612501,4.112538,sst,30km,2002,avhrr
