,X,id,river,P,lambda,hatchery,area,area_full,length,N_confluence,forest,grass,crop,dem_mean,dem_stdev,NC,N_weir,Nweir,cum.prec,mu.temp,Nsite,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,nu10_prep,sigma_prep,Chla30,Chla50,SST30,SST50,Y_yamame,Y_amemasu
1,1,64,atsuta,0.52187825,0.737889872,0,137.1654,137.1654,102.9961038,37,0.94074,0.03225,0.01005,273.0527562,147.3053108,0.35923689,45,0.328071073,1478.859788,6.022751323,5,148.7375661,117.8449735,82.31322751,71.17301587,92.68888889,65.72592593,120.0582011,157.1121693,143.705291,166.7904762,171.8417989,140.868254,-6.208994709,-5.888888889,-2.285185185,3.729100529,9.257671958,13.65449735,17.67936508,19.21111111,14.96137566,8.961375661,2.458201058,-3.32010582,0.074666667,0.062398487,2.487417222,1.776696222,19.74241333,19.39626506,-0.043052107,NA
2,2,65,chihase,0.535442056,0.766668983,6613832,76.7718,76.7718,53.47782464,20,0.98475,0.00939,0.00222,524.3780734,301.9110249,0.373986791,33,0.429845334,1687.750459,5.535779817,2,134.1779817,104.3458716,86.64220183,129.6220183,128.9220183,75.84678899,112.4807339,185.3853211,205.5770642,185.0229358,188.9825688,150.7449541,-5.297247706,-5.180733945,-2.177981651,3.002752294,7.820183486,12.00366972,16.20733945,18.1559633,14.48807339,8.48440367,2.132110092,-3.204587156,0.052666667,0.066800444,0.750281278,0.7833905,19.2437605,19.27487178,0.054368104,0.002046305
3,3,66,furuu,0.528144574,0.751082641,9012731,77.8005,77.8005,46.59944802,17,0.97902,0.01596,0.00232,391.8091927,202.2839802,0.364811188,3,0.038560163,1608.526786,6.292857143,5,159.5366071,128.6205357,82.83392857,85.29107143,93.37767857,67.38839286,120.3732143,170.5776786,176.4241071,196.6758929,172.5205357,154.9071429,-5.016071429,-4.93125,-1.79375,3.932142857,8.944642857,13.23303571,17.38839286,19.21964286,15.15892857,9.35625,2.857142857,-2.883928571,0.057333333,0.025611512,0.649534889,0.681889389,19.61635567,19.49379039,NA,NA
4,4,67,futoro,0.464388655,0.624346484,4909820,199.8594,199.8594,164.9718505,51,0.85366,0.0853,0.02051,241.3618496,215.6392874,0.30914365,63,0.315221601,1416.64031,7.35,3,106.5782946,83.73875969,76.64573643,101.424031,114.6383721,90.92403101,140.9848837,165.1,150.4748062,136.1228682,129.1073643,120.9011628,-4.071705426,-3.508527132,-0.322868217,4.628682171,9.701937984,13.95193798,18.03565891,20.15852713,16.49108527,10.63139535,4.027131783,-1.583333333,0.073333333,0.034451348,1.051932389,0.823835111,19.66108789,19.78946411,0.168027305,NA
5,5,68,haraki,0.398004927,0.507506018,355000,13.7457,13.7457,9.852123369,2,0.99171,0.00603,0.00151,178.1067269,67.53841847,0.203001924,21,1.527750497,1377.566667,8.133333333,2,80.92962963,53.72592593,67.26296296,100.1148148,111.8851852,95.52592593,148.8777778,184.8407407,176.1592593,146.0259259,120.1814815,92.03703704,-2.674074074,-2.403703704,0.555555556,5.737037037,10.13333333,13.77407407,17.87407407,20.33703704,17.27777778,11.51111111,5.47037037,-0.062962963,0.072,0.044756247,0.975972611,0.987039056,18.91510728,18.70386939,0.196253245,-0.002882271
6,6,69,hidakahorobetsu,0.488634314,0.670670316,2718000,137.4327,334.7568,91.94926617,34,0.93114,0.06602,0.00051,515.0930833,271.0471832,0.369769128,35,0.254670104,1735.851351,3.644324324,4,69.34864865,72.13945946,89.93567568,122.1275676,171.0037838,133.7389189,215.2291892,250.6524324,198.6432432,184.5551351,143.7827027,84.69459459,-9.055675676,-8.694054054,-4.347027027,1.589189189,6.98972973,11.25945946,15.28702703,16.87513514,12.78432432,6.532432432,0.294594595,-5.801081081,0.058,0.032941785,1.572380389,1.690770111,17.49612456,17.23160094,NA,NA
7,7,70,hime,0.449377438,0.59670571,1296000,54.1404,54.1404,41.89651296,12,0.83704,0.06352,0.05963,238.4943267,220.8723207,0.286420018,13,0.240116438,1457.526744,7.598837209,3,109.694186,97.24883721,75.85930233,85.28488372,107.2534884,91.35930233,171.2383721,193.3686047,158.2395349,133.6046512,125.5162791,108.8593023,-3.898837209,-3.543023256,-0.258139535,5.276744186,10.24069767,14.58837209,18.59883721,20.60348837,16.52325581,10.26860465,4.115116279,-1.36627907,0.067333333,0.115575871,NA,1.029678833,19.48770822,19.76779144,0.095599521,-0.051899782
8,8,71,horonai,0.419181996,0.543317817,1658500,7.1118,281.7261,8.196168825,2,0.51836,0.46328,0.01695,97.18616316,62.47524644,0.244016448,0,0,1009.8,5.231578947,2,71.02105263,51.65789474,60.61578947,50.06842105,59.54736842,64.06315789,104.4368421,125.3473684,133.8421053,121.2631579,86.60526316,81.33157895,-7.315789474,-7.489473684,-2.942105263,3.615789474,8.484210526,11.97894737,16.04736842,18.56842105,14.91052632,8.863157895,2.015789474,-3.942105263,0.066666667,0.026796268,1.121851389,1.163921611,16.40021433,15.45710511,0.049330062,NA
9,9,72,ishizaki,0.5722087,0.849119819,6689200,178.3053,178.3053,119.9204934,50,0.97778,0.01485,0.00306,432.385399,172.9760436,0.416942914,206,1.155321799,1728.048649,7.095045045,4,147.5801802,109.4265766,98.66756757,118.6711712,131.1166667,87.44279279,169.254955,199.527027,181.5351351,156.8130631,180.663964,147.3495495,-4.093693694,-3.772072072,-0.736486486,4.360810811,9.186036036,13.80045045,17.8954955,19.92792793,16.09864865,10.29279279,3.822972973,-1.661261261,0.074666667,0.030693362,0.690165722,0.681347722,20.50296978,20.2213505,NA,NA
10,10,73,kenichi,0.488924687,0.671238316,6162057,69.3765,69.3765,46.18298049,15,0.93712,0.05971,0.00245,463.2936451,247.6457032,0.324794975,30,0.432423083,1732.763043,6.126086957,5,121.4652174,115.0630435,87.24782609,110.7467391,129.9771739,121.775,194.0804348,210.3956522,181.7673913,167.9706522,153.3826087,138.8913043,-5.025,-4.997826087,-1.660869565,3.623913043,8.57826087,12.96413043,17.09456522,19.09021739,15.27717391,8.963043478,2.589130435,-3.001086957,0.071333333,0.029509847,0.923376667,0.957739667,20.06129828,19.65054578,0.309264707,NA
